volume,page_number,page_type,epic,book,source_range,text_file,image_file,caption_id,proof_status,notes
iliad-volume-proof,1,title,Iliad,,,,,,verified-architecture,Derived from current comic-size provisional volume proof; final pagination and art selection remain open.
iliad-volume-proof,2,forward,Iliad,,,volumes/iliad/forward.md,,,verified-architecture,Derived from current comic-size provisional volume proof; final pagination and art selection remain open.
iliad-volume-proof,3,book-opener,Iliad,1,1.1-611,text/iliad/book-01-opening.md,,,verified-architecture,Derived from current comic-size provisional volume proof; final pagination and art selection remain open.
iliad-volume-proof,4,verse,Iliad,1,1.1-611,text/iliad/book-01-opening.md,,,verified-architecture,Derived from current comic-size provisional volume proof; final pagination and art selection remain open.
iliad-volume-proof,5,verse,Iliad,1,1.1-611,text/iliad/book-01-opening.md,,,verified-architecture,Derived from current comic-size provisional volume proof; final pagination and art selection remain open.
iliad-volume-proof,6,verse,Iliad,1,1.1-611,text/iliad/book-01-opening.md,,,verified-architecture,Derived from current comic-size provisional volume proof; final pagination and art selection remain open.
iliad-volume-proof,7,verse,Iliad,1,1.1-611,text/iliad/book-01-opening.md,,,verified-architecture,Derived from current comic-size provisional volume proof; final pagination and art selection remain open.
iliad-volume-proof,8,verse,Iliad,1,1.1-611,text/iliad/book-01-opening.md,,,verified-architecture,Derived from current comic-size provisional volume proof; final pagination and art selection remain open.
iliad-volume-proof,9,verse,Iliad,1,1.1-611,text/iliad/book-01-opening.md,,,verified-architecture,Derived from current comic-size provisional volume proof; final pagination and art selection remain open.
iliad-volume-proof,10,verse,Iliad,1,1.1-611,text/iliad/book-01-opening.md,,,verified-architecture,Derived from current comic-size provisional volume proof; final pagination and art selection remain open.
iliad-volume-proof,11,verse,Iliad,1,1.1-611,text/iliad/book-01-opening.md,,,verified-architecture,Derived from current comic-size provisional volume proof; final pagination and art selection remain open.
iliad-volume-proof,12,verse,Iliad,1,1.1-611,text/iliad/book-01-opening.md,,,verified-architecture,Derived from current comic-size provisional volume proof; final pagination and art selection remain open.
iliad-volume-proof,13,verse,Iliad,1,1.1-611,text/iliad/book-01-opening.md,,,verified-architecture,Derived from current comic-size provisional volume proof; final pagination and art selection remain open.
iliad-volume-proof,14,verse,Iliad,1,1.1-611,text/iliad/book-01-opening.md,,,verified-architecture,Derived from current comic-size provisional volume proof; final pagination and art selection remain open.
iliad-volume-proof,15,plate,Iliad,1,1.1-16,,assets/generated/iliad/book-01-apollo-v2.png,iliad-book-01-apollo-v2-concept,verified-architecture,Derived from current comic-size provisional volume proof; final pagination and art selection remain open.
iliad-volume-proof,16,verse,Iliad,1,1.1-611,text/iliad/book-01-opening.md,,,verified-architecture,Derived from current comic-size provisional volume proof; final pagination and art selection remain open.
iliad-volume-proof,17,book-opener,Iliad,2,2.1-877,text/iliad/book-02-opening.md,,,verified-architecture,Derived from current comic-size provisional volume proof; final pagination and art selection remain open.
iliad-volume-proof,18,verse,Iliad,2,2.1-877,text/iliad/book-02-opening.md,,,verified-architecture,Derived from current comic-size provisional volume proof; final pagination and art selection remain open.
iliad-volume-proof,19,verse,Iliad,2,2.1-877,text/iliad/book-02-opening.md,,,verified-architecture,Derived from current comic-size provisional volume proof; final pagination and art selection remain open.
iliad-volume-proof,20,verse,Iliad,2,2.1-877,text/iliad/book-02-opening.md,,,verified-architecture,Derived from current comic-size provisional volume proof; final pagination and art selection remain open.
iliad-volume-proof,21,verse,Iliad,2,2.1-877,text/iliad/book-02-opening.md,,,verified-architecture,Derived from current comic-size provisional volume proof; final pagination and art selection remain open.
iliad-volume-proof,22,verse,Iliad,2,2.1-877,text/iliad/book-02-opening.md,,,verified-architecture,Derived from current comic-size provisional volume proof; final pagination and art selection remain open.
iliad-volume-proof,23,verse,Iliad,2,2.1-877,text/iliad/book-02-opening.md,,,verified-architecture,Derived from current comic-size provisional volume proof; final pagination and art selection remain open.
iliad-volume-proof,24,verse,Iliad,2,2.1-877,text/iliad/book-02-opening.md,,,verified-architecture,Derived from current comic-size provisional volume proof; final pagination and art selection remain open.
iliad-volume-proof,25,verse,Iliad,2,2.1-877,text/iliad/book-02-opening.md,,,verified-architecture,Derived from current comic-size provisional volume proof; final pagination and art selection remain open.
iliad-volume-proof,26,verse,Iliad,2,2.1-877,text/iliad/book-02-opening.md,,,verified-architecture,Derived from current comic-size provisional volume proof; final pagination and art selection remain open.
iliad-volume-proof,27,verse,Iliad,2,2.1-877,text/iliad/book-02-opening.md,,,verified-architecture,Derived from current comic-size provisional volume proof; final pagination and art selection remain open.
iliad-volume-proof,28,verse,Iliad,2,2.1-877,text/iliad/book-02-opening.md,,,verified-architecture,Derived from current comic-size provisional volume proof; final pagination and art selection remain open.
iliad-volume-proof,29,verse,Iliad,2,2.1-877,text/iliad/book-02-opening.md,,,verified-architecture,Derived from current comic-size provisional volume proof; final pagination and art selection remain open.
iliad-volume-proof,30,verse,Iliad,2,2.1-877,text/iliad/book-02-opening.md,,,verified-architecture,Derived from current comic-size provisional volume proof; final pagination and art selection remain open.
