plate_id,final_file,sha256,width_px,height_px,color_profile,curation_status
iliad-book-01-flaxman-blake,assets/source/iliad/met-337355-dp-14470-001.jpg,975fbdacbcc620c8b990635ee668c7c98b1e3caa208747326e6cbd29164bce6e,3621,2342,sRGB,source-review
odyssey-book-22-hall-concept,assets/generated/odyssey/book-22-hall-v1.png,9beb4be8ed49e579185bca7cd0b6d1fc7f5969bcf52147a09ae4a275fe24334c,1122,1402,unprofiled,concept-review
odyssey-book-05-raft-concept,assets/generated/odyssey/book-05-raft-v1.png,f7d90b67a2beda8bfc8f6cff11c8280ace323bbef1bde89910cc9baf2cf34eaf,1050,1498,unprofiled,concept-review
iliad-book-03-helen-walls-concept,assets/generated/iliad/book-03-helen-walls-v1.png,f3e11af2ff8ba6099b0bf73a654dd733c93fa2a0a1bbe6c7d7a69b1deea24eb4,1024,1536,unprofiled,concept-review
iliad-book-16-patroclus-v2-concept,assets/generated/iliad/book-16-patroclus-v2.png,9ea4fe09507f1fe67ce442081f4bba1e6fd3d3d21da106d2bf0bb20e3440cc7b,1050,1498,unprofiled,concept-review
iliad-book-18-flaxman-piroli,assets/source/iliad/met-337355-dp-15151-001.jpg,2352006448d93bd52c770ea1200481c9d620f7e8652c815fb75f77591c8d28e3,3590,2404,sRGB,source-review
iliad-book-01-apollo-concept,assets/generated/iliad/book-01-apollo-v1.png,f6b48c9f73c17318ce0cda22e86db7db0b4270a81af0282ad1d497fcd3a3e478,1050,1498,unprofiled,concept-review
odyssey-book-01-athena-concept,assets/generated/odyssey/book-01-athena-v1.png,a1fd5709ee73eba1c8e6d44ea10118c102c0984e7990a19a994a6e084f7ddbcb,1054,1492,unprofiled,concept-review
iliad-book-01-apollo-v2-concept,assets/generated/iliad/book-01-apollo-v2.png,0205d034e2685de2ee11a7645877512e8b4d36f13b0b1d050a72823f6919594e,2100,3000,unprofiled,concept-review
odyssey-book-01-athena-v2-concept,assets/generated/odyssey/book-01-athena-v2.png,0e749d23c2cf47856cb4a70cf99dc5c34ed8849e0712de23eb48e4e50d040490,2100,3000,unprofiled,concept-review
iliad-book-02-ili-02-v1-concept,assets/generated/iliad/book-02-ili-02-v1.png,11979a277765bc8dc994ee8f342ebdf18e4c8761f57e0141c5e0d26717831f21,2100,3000,unprofiled,concept-review
odyssey-book-02-ody-02-v1-concept,assets/generated/odyssey/book-02-ody-02-v1.png,ec4e3ac6b4be4e9b2ecc7f668a929ca82b516d13f12e2a324b252a4cf4ff3a5b,2100,3000,unprofiled,concept-review
iliad-book-11-patroclus-eurypylus-concept,assets/processed/iliad/book-11-patroclus-eurypylus-placement.png,cc8bd0b5cc705ef9293b66f3ad5f38ad9b60b4e990948dddd040ac61cd240232,2100,3000,unprofiled,concept-review
odyssey-book-09-polyphemus-escape-concept,assets/processed/odyssey/book-09-polyphemus-escape-placement.png,b22557e070005888bcba25c2d4139b36afa280ccfb0bca508530c2c189445865,2100,3000,unprofiled,concept-review
iliad-book-24-priam-achilles-concept,assets/processed/iliad/book-24-priam-achilles-placement.png,b3b6700dc7fc0e7467a25b8ab6650b76d6e4a5594c7f562ca29b61619eb69bba,2100,3000,unprofiled,concept-review
iliad-book-11-patroclus-eurypylus-v2-concept,assets/generated/iliad/book-11-patroclus-eurypylus-v2.png,3a2a0f735b6fc7d5e7a321b3a8a4af0db9a8662092131bb73c87bc8a78d111a1,1008,1560,sRGB,concept-review
odyssey-book-23-penelope-bed-concept,assets/generated/odyssey/book-23-penelope-bed-v1.png,f4882bfe27ebb315333a3a8fe2d643e43fe4a95261692480fcd28ed8634231fa,1008,1560,sRGB,concept-review
odyssey-book-16-father-son-concept,assets/generated/odyssey/book-16-father-son-v1.png,41b5cbc3d6198a221302faf228aef57c04a761c753ec75601139d6d20c01fc05,1008,1560,sRGB,concept-review
odyssey-book-13-return-concept,assets/generated/odyssey/book-13-return-v1.png,4f2fe7749e848c354c7783876d56a2b333dcdd1557c78fbc41e4a30c3a1371ba,1008,1560,sRGB,concept-review
iliad-book-24-priam-achilles-v2-concept,assets/generated/iliad/book-24-priam-achilles-v2.png,6b4959925b21a9d87f47a983c546464a120384c915e4616b9fee8f814aae41d2,1008,1560,sRGB,concept-review
odyssey-book-05-raft-v2-concept,assets/generated/odyssey/book-05-raft-v2.png,f3cfb4639ea76b6cb8fb805b3b9ebba8eb2cd9fd2084d96e38d786b2daf71da2,1008,1561,sRGB,concept-review
odyssey-book-03-pylos-concept,assets/generated/odyssey/book-03-pylos-v1.png,a3db94f87366acb0791ff97b6d55809e80b3c7bdc9b28948350cfe74cbbf5cd5,1024,1536,unprofiled,concept-review
