volume,book,placeholder_slot,plate_id,passage,selection_status,approval_status,source_type,creator,rights_status,source_asset,source_exists,print_derivative,derivative_exists,derivative_spec,art_direction_gate,caption_range_gate,rights_credit_gate,native_master_gate,physical_proof_gate,notes
Iliad,1,ILI-01,iliad-book-01-apollo-v2-concept,1.1-16,provisional-print-review,pending,generated,CastaliaInstitute,Original concept; not by William Blake,assets/generated/iliad/book-01-apollo-v2.png,true,assets/print/illustrations/iliad/book-01-full-bleed.jpg,true,2055x3142 px; 300 PPI; sRGB,pending,pending,pending,pending,pending,Higher-resolution opening candidate; exact passage and final art-direction approval pending.
Iliad,2,ILI-02,iliad-book-02-ili-02-v1-concept,2.1-2.877,provisional-print-review,pending,generated,CastaliaInstitute,Original concept; not by William Blake,assets/generated/iliad/book-02-ili-02-v1.png,true,assets/print/illustrations/iliad/book-02-full-bleed.jpg,true,2055x3142 px; 300 PPI; sRGB,pending,pending,pending,pending,pending,Only original candidate currently recorded for Book 2.
Iliad,3,ILI-03,iliad-book-03-helen-walls-concept,3.1-3.461,provisional-print-review,pending,generated,CastaliaInstitute,Original concept; not by William Blake,assets/generated/iliad/book-03-helen-walls-v1.png,true,assets/print/illustrations/iliad/book-03-full-bleed.jpg,true,2055x3142 px; 300 PPI; sRGB,pending,pending,pending,pending,pending,Only original candidate currently recorded for Book 3.
Iliad,4,ILI-04,iliad-book-04-broken-oath-concept,4.1-4.544,provisional-print-review,pending,generated,CastaliaInstitute,Original concept; not by William Blake,assets/generated/iliad/book-04-broken-oath-v1.png,true,assets/print/illustrations/iliad/book-04-full-bleed.jpg,true,2055x3142 px; 300 PPI; sRGB,pending,pending,pending,pending,pending,Only original candidate currently recorded for Book 4.
Iliad,5,ILI-05,iliad-book-05-diomedes-concept,5.1-5.909,provisional-print-review,pending,generated,CastaliaInstitute,Original concept; not by William Blake,assets/generated/iliad/book-05-diomedes-v1.png,true,assets/print/illustrations/iliad/book-05-full-bleed.jpg,true,2055x3142 px; 300 PPI; sRGB,pending,pending,pending,pending,pending,Only original candidate currently recorded for Book 5.
Iliad,6,ILI-06,iliad-book-06-hector-family-concept,6.1-6.529,provisional-print-review,pending,generated,CastaliaInstitute,Original concept; not by William Blake,assets/generated/iliad/book-06-hector-family-v1.png,true,assets/print/illustrations/iliad/book-06-full-bleed.jpg,true,2055x3142 px; 300 PPI; sRGB,pending,pending,pending,pending,pending,Only original candidate currently recorded for Book 6.
Iliad,7,ILI-07,iliad-book-07-hector-ajax-concept,7.1-7.482,provisional-print-review,pending,generated,CastaliaInstitute,Original concept; not by William Blake,assets/generated/iliad/book-07-hector-ajax-v1.png,true,assets/print/illustrations/iliad/book-07-full-bleed.jpg,true,2055x3142 px; 300 PPI; sRGB,pending,pending,pending,pending,pending,Only original candidate currently recorded for Book 7.
Iliad,8,ILI-08,iliad-book-08-zeus-balance-concept,8.1-8.565,provisional-print-review,pending,generated,CastaliaInstitute,Original concept; not by William Blake,assets/generated/iliad/book-08-zeus-balance-v1.png,true,assets/print/illustrations/iliad/book-08-full-bleed.jpg,true,2055x3142 px; 300 PPI; sRGB,pending,pending,pending,pending,pending,Only original candidate currently recorded for Book 8.
Iliad,9,ILI-09,iliad-book-09-embassy-concept,9.1-9.713,provisional-print-review,pending,generated,CastaliaInstitute,Original concept; not by William Blake,assets/generated/iliad/book-09-embassy-v1.png,true,assets/print/illustrations/iliad/book-09-full-bleed.jpg,true,2055x3142 px; 300 PPI; sRGB,pending,pending,pending,pending,pending,Only original candidate currently recorded for Book 9.
Iliad,10,ILI-10,iliad-book-10-night-raid-concept,10.1-10.579,provisional-print-review,pending,generated,CastaliaInstitute,Original concept; not by William Blake,assets/generated/iliad/book-10-night-raid-v1.png,true,assets/print/illustrations/iliad/book-10-full-bleed.jpg,true,2055x3142 px; 300 PPI; sRGB,pending,pending,pending,pending,pending,Only original candidate currently recorded for Book 10.
