volume,page_number,page_type,epic,book,source_range,text_file,proof_status,notes
iliad-volume-proof,3,book-opener,Iliad,1,1.1-611,text/iliad/book-01-opening.md,verified-architecture,Derived from current comic-size provisional volume proof; final pagination and art selection remain open.
iliad-volume-proof,17,book-opener,Iliad,2,2.1-877,text/iliad/book-02-opening.md,verified-architecture,Derived from current comic-size provisional volume proof; final pagination and art selection remain open.
iliad-volume-proof,36,book-opener,Iliad,3,3.1-461,text/iliad/book-03-opening.md,verified-architecture,Derived from current comic-size provisional volume proof; final pagination and art selection remain open.
iliad-volume-proof,48,book-opener,Iliad,4,4.1-544,text/iliad/book-04-opening.md,verified-architecture,Derived from current comic-size provisional volume proof; final pagination and art selection remain open.
iliad-volume-proof,59,book-opener,Iliad,5,5.1-909,text/iliad/book-05-opening.md,verified-architecture,Derived from current comic-size provisional volume proof; final pagination and art selection remain open.
iliad-volume-proof,75,book-opener,Iliad,6,6.1-529,text/iliad/book-06-opening.md,verified-architecture,Derived from current comic-size provisional volume proof; final pagination and art selection remain open.
iliad-volume-proof,86,book-opener,Iliad,7,7.1-482,text/iliad/book-07-opening.md,verified-architecture,Derived from current comic-size provisional volume proof; final pagination and art selection remain open.
iliad-volume-proof,95,book-opener,Iliad,8,8.1-565,text/iliad/book-08-opening.md,verified-architecture,Derived from current comic-size provisional volume proof; final pagination and art selection remain open.
iliad-volume-proof,103,book-opener,Iliad,9,9.1-713,text/iliad/book-09-opening.md,verified-architecture,Derived from current comic-size provisional volume proof; final pagination and art selection remain open.
iliad-volume-proof,116,book-opener,Iliad,10,10.1-579,text/iliad/book-10-opening.md,verified-architecture,Derived from current comic-size provisional volume proof; final pagination and art selection remain open.
iliad-volume-proof,128,book-opener,Iliad,11,11.1-848,text/iliad/book-11-opening.md,verified-architecture,Derived from current comic-size provisional volume proof; final pagination and art selection remain open.
iliad-volume-proof,147,book-opener,Iliad,12,12.1-471,text/iliad/book-12-opening.md,verified-architecture,Derived from current comic-size provisional volume proof; final pagination and art selection remain open.
iliad-volume-proof,157,book-opener,Iliad,13,13.1-837,text/iliad/book-13-opening.md,verified-architecture,Derived from current comic-size provisional volume proof; final pagination and art selection remain open.
iliad-volume-proof,174,book-opener,Iliad,14,14.1-522,text/iliad/book-14-opening.md,verified-architecture,Derived from current comic-size provisional volume proof; final pagination and art selection remain open.
iliad-volume-proof,185,book-opener,Iliad,15,15.1-746,text/iliad/book-15-opening.md,verified-architecture,Derived from current comic-size provisional volume proof; final pagination and art selection remain open.
iliad-volume-proof,201,book-opener,Iliad,16,16.1-867,text/iliad/book-16-opening.md,verified-architecture,Derived from current comic-size provisional volume proof; final pagination and art selection remain open.
iliad-volume-proof,224,book-opener,Iliad,17,17.1-761,text/iliad/book-17-opening.md,verified-architecture,Derived from current comic-size provisional volume proof; final pagination and art selection remain open.
iliad-volume-proof,242,book-opener,Iliad,18,18.1-617,text/iliad/book-18-opening.md,verified-architecture,Derived from current comic-size provisional volume proof; final pagination and art selection remain open.
iliad-volume-proof,255,book-opener,Iliad,19,19.1-424,text/iliad/book-19-opening.md,verified-architecture,Derived from current comic-size provisional volume proof; final pagination and art selection remain open.
iliad-volume-proof,266,book-opener,Iliad,20,20.1-503,text/iliad/book-20-opening.md,verified-architecture,Derived from current comic-size provisional volume proof; final pagination and art selection remain open.
iliad-volume-proof,279,book-opener,Iliad,21,21.1-611,text/iliad/book-21-opening.md,verified-architecture,Derived from current comic-size provisional volume proof; final pagination and art selection remain open.
