volume,book,status,source_range,translation_file,greek_review,narrative_review,verse_review,diction_review,notes_review,production_review,layout_status
iliad,1,draft,1.1-611,text/iliad/book-01-opening.md,pending,pending,pending,pending,pending,pending,not-started
iliad,2,draft,2.1-877,text/iliad/book-02-opening.md,pending,pending,pending,pending,pending,pending,not-started
iliad,3,outline,3.1-end,,pending,pending,pending,pending,pending,pending,not-started
iliad,4,outline,4.1-end,,pending,pending,pending,pending,pending,pending,not-started
iliad,5,outline,5.1-end,,pending,pending,pending,pending,pending,pending,not-started
iliad,6,outline,6.1-end,,pending,pending,pending,pending,pending,pending,not-started
iliad,7,outline,7.1-end,,pending,pending,pending,pending,pending,pending,not-started
iliad,8,outline,8.1-end,,pending,pending,pending,pending,pending,pending,not-started
iliad,9,outline,9.1-end,,pending,pending,pending,pending,pending,pending,not-started
iliad,10,outline,10.1-end,,pending,pending,pending,pending,pending,pending,not-started
iliad,11,outline,11.1-end,,pending,pending,pending,pending,pending,pending,not-started
iliad,12,outline,12.1-end,,pending,pending,pending,pending,pending,pending,not-started
iliad,13,outline,13.1-end,,pending,pending,pending,pending,pending,pending,not-started
iliad,14,outline,14.1-end,,pending,pending,pending,pending,pending,pending,not-started
iliad,15,outline,15.1-end,,pending,pending,pending,pending,pending,pending,not-started
iliad,16,outline,16.1-end,,pending,pending,pending,pending,pending,pending,not-started
iliad,17,outline,17.1-end,,pending,pending,pending,pending,pending,pending,not-started
iliad,18,outline,18.1-end,,pending,pending,pending,pending,pending,pending,not-started
iliad,19,outline,19.1-end,,pending,pending,pending,pending,pending,pending,not-started
iliad,20,outline,20.1-end,,pending,pending,pending,pending,pending,pending,not-started
iliad,21,outline,21.1-end,,pending,pending,pending,pending,pending,pending,not-started
iliad,22,outline,22.1-end,,pending,pending,pending,pending,pending,pending,not-started
iliad,23,outline,23.1-end,,pending,pending,pending,pending,pending,pending,not-started
iliad,24,outline,24.1-end,,pending,pending,pending,pending,pending,pending,not-started
odyssey,1,draft,1.1-444,text/odyssey/book-01-opening.md,pending,pending,pending,pending,pending,pending,not-started
odyssey,2,draft,2.1-434,text/odyssey/book-02-opening.md,pending,pending,pending,pending,pending,pending,not-started
odyssey,3,outline,3.1-end,,pending,pending,pending,pending,pending,pending,not-started
odyssey,4,outline,4.1-end,,pending,pending,pending,pending,pending,pending,not-started
odyssey,5,outline,5.1-end,,pending,pending,pending,pending,pending,pending,not-started
odyssey,6,outline,6.1-end,,pending,pending,pending,pending,pending,pending,not-started
odyssey,7,outline,7.1-end,,pending,pending,pending,pending,pending,pending,not-started
odyssey,8,outline,8.1-end,,pending,pending,pending,pending,pending,pending,not-started
odyssey,9,outline,9.1-end,,pending,pending,pending,pending,pending,pending,not-started
odyssey,10,outline,10.1-end,,pending,pending,pending,pending,pending,pending,not-started
odyssey,11,outline,11.1-end,,pending,pending,pending,pending,pending,pending,not-started
odyssey,12,outline,12.1-end,,pending,pending,pending,pending,pending,pending,not-started
odyssey,13,outline,13.1-end,,pending,pending,pending,pending,pending,pending,not-started
odyssey,14,outline,14.1-end,,pending,pending,pending,pending,pending,pending,not-started
odyssey,15,outline,15.1-end,,pending,pending,pending,pending,pending,pending,not-started
odyssey,16,outline,16.1-end,,pending,pending,pending,pending,pending,pending,not-started
odyssey,17,outline,17.1-end,,pending,pending,pending,pending,pending,pending,not-started
odyssey,18,outline,18.1-end,,pending,pending,pending,pending,pending,pending,not-started
odyssey,19,outline,19.1-end,,pending,pending,pending,pending,pending,pending,not-started
odyssey,20,outline,20.1-end,,pending,pending,pending,pending,pending,pending,not-started
odyssey,21,outline,21.1-end,,pending,pending,pending,pending,pending,pending,not-started
odyssey,22,outline,22.1-end,,pending,pending,pending,pending,pending,pending,not-started
odyssey,23,outline,23.1-end,,pending,pending,pending,pending,pending,pending,not-started
odyssey,24,outline,24.1-end,,pending,pending,pending,pending,pending,pending,not-started
